stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
FAS20_ME_05,633,4582.780636056873,2900900.1426240006,2900900.1426240006,2.9009001426240006,2.9009001426240006
FAS24_ME_13,742,2878.9978336132076,2136216.392541,2136216.392541,2.1362163925410003,2.1362163925410003
FAS6_ME_new_26,623,3376.617954414125,2103632.9856,2103632.9856,2.1036329855999996,2.1036329855999996
PR21_ME_03,794,2482.683432503779,1971250.6454080003,1971250.6454080006,1.9712506454080005,1.9712506454080003
FAS24_ME_05,668,2883.6457519790424,1926275.3623220003,1926275.3623220003,1.9262753623220004,1.9262753623220004
FAS20_ME_06,629,3016.793554543721,1897563.1458080004,1897563.1458080004,1.8975631458080005,1.8975631458080005
FAS24_ME_06,655,2756.0982693618325,1805244.3664320002,1805244.3664320004,1.8052443664320004,1.8052443664320001
FAS6_ME_new_07,701,2535.666955206848,1777502.5356000003,1777502.5356000003,1.7775025356000003,1.7775025356000003
FAS24_ME_03,721,2388.9634359681004,1722442.6373330003,1722442.6373330003,1.7224426373330004,1.7224426373330004
PR5_ME_03,645,2636.591134362791,1700601.2816640001,1700601.2816640001,1.7006012816640002,1.7006012816640002
FAS24_ME_11,805,2083.1177414559006,1676909.781872,1676909.781872,1.676909781872,1.676909781872
PR10_ME_32,643,2554.688711757387,1642664.84166,1642664.84166,1.6426648416599998,1.6426648416599998
FAS20_ME_25,721,2271.5437366102637,1637783.0340960003,1637783.0340960003,1.6377830340960002,1.6377830340960002
FAS23_ME_16,589,2767.3551603565365,1629972.18945,1629972.18945,1.6299721894499999,1.6299721894499999
FAS20_ME_26,779,2082.5626701720153,1622316.3200639999,1622316.3200639999,1.6223163200639998,1.6223163200639998
FAS6_ME_new_03,830,1940.5004256000002,1610615.3532480001,1610615.3532480001,1.610615353248,1.610615353248
PR10_ME_34,631,2510.1867007036453,1583927.8081440001,1583927.8081440001,1.583927808144,1.583927808144
FAS4_ME_new_16,713,2167.1391078821885,1545170.1839200002,1545170.1839200004,1.5451701839200005,1.5451701839200003
PR17_ME_23,674,2280.3129133531156,1536930.9035999998,1536930.9035999998,1.5369309035999998,1.5369309035999998
PR1_ME_10,593,2552.2870782596965,1513506.237408,1513506.237408,1.513506237408,1.513506237408
FAS16_ME_05,541,2796.5022723548987,1512907.729344,1512907.729344,1.512907729344,1.512907729344
FAS24_ME_27,612,2459.6385564444445,1505298.796544,1505298.796544,1.5052987965440001,1.5052987965440001
FAS6_ME_new_04,729,2054.7189989574763,1497890.15024,1497890.15024,1.4978901502400002,1.4978901502400002
