stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
FAS20_ME_05,3.652,315617,786432,0.40132776896158856,40.13277689615886,4209416.753168001,4.209416753168001,633,0.00015037712754946517,150.37712754946517,4582.780636056873,2900900.1426240006,2.9009001426240006,2900900.1426240006,2.9009001426240006,0.6891453882395435,68.91453882395436
PR1_ME_10,3.684,259819,786432,0.33037694295247394,33.03769429524739,3526226.054064,3.526226054064,593,0.00016816845854693955,168.16845854693955,2552.2870782596965,1513506.237408,1.513506237408,1513506.237408,1.513506237408,0.42921418372020526,42.921418372020526
FAS6_ME_new_26,3.69,381827,786432,0.4855181376139323,48.551813761393234,5198994.6147,5.1989946147,623,0.0001198308608049884,119.8308608049884,3376.617954414125,2103632.9856,2.1036329855999996,2103632.9856,2.1036329855999996,0.40462303608702366,40.46230360870236
FAS23_ME_16,3.735,304760,786432,0.3875223795572917,38.75223795572917,4251470.5709999995,4.251470571,589,0.0001385402980365591,138.54029803655908,2767.3551603565365,1629972.18945,1.6299721894499999,1629972.18945,1.6299721894499999,0.38339020868880436,38.33902086888044
FAS24_ME_06,3.692,394875,786432,0.5021095275878906,50.21095275878906,5382487.422,5.3824874220000005,655,0.00012169094856084551,121.69094856084551,2756.0982693618325,1805244.3664320002,1.8052443664320001,1805244.3664320004,1.8052443664320004,0.33539221272554615,33.53922127255461
FAS16_ME_20,3.652,160167,786432,0.20366287231445312,20.366287231445312,2136163.936368,2.1361639363680003,349,0.00016337697405068317,163.37697405068317,2037.1375442063038,710961.0029280001,0.710961002928,710961.0029280001,0.710961002928,0.3328213676974658,33.28213676974658
PR5_ME_36,3.704,253721,786432,0.32262293497721356,32.26229349772136,3480954.6911360007,3.4809546911360005,549,0.00015771535360629334,157.71535360629335,2080.2336522258656,1142048.2750720002,1.1420482750720002,1142048.2750720002,1.1420482750720002,0.32808478604451347,32.808478604451345
FAS6_ME_new_38,3.69,318026,786432,0.40439097086588544,40.439097086588546,4330273.8186,4.3302738186,569,0.00013140046653769362,131.4004665376936,2475.258614762741,1408422.1517999999,1.4084221518,1408422.1517999996,1.4084221517999997,0.3252501367812694,32.52501367812694
FAS20_ME_06,3.652,437454,786432,0.5562515258789062,55.625152587890625,5834369.4932160005,5.834369493216,629,0.00010780942152041948,107.80942152041949,3016.793554543721,1897563.1458080004,1.8975631458080005,1897563.1458080004,1.8975631458080005,0.3252387679618886,32.52387679618886
PR21_ME_03,3.652,465045,786432,0.5913352966308594,59.13352966308594,6202353.529680001,6.202353529680001,794,0.00012801592108551817,128.01592108551816,2482.683432503779,1971250.6454080003,1.9712506454080003,1971250.6454080006,1.9712506454080005,0.31782300637572714,31.782300637572714
